timestamp,terms_generated,terms_added,status,duration,auth_method,candidates_goal,bias_strength_inc,model,preset_name,preset_settings,bias_phrases,is_checkpoint,checkpoint_interval,preset_method
2024-09-20 11:50:42.727035,10,8,aborted,52.832628,env_token,20,-0.1,Model.Clio,default,"{'temperature': 1.0, 'max_length': 40, 'min_length': 1, 'top_k': 0, 'top_a': 1.0, 'top_p': 0.0, 'typical_p': 0.0, 'tail_free_sampling': 1.0, 'repetition_penalty': 1.0, 'repetition_penalty_range': 0, 'repetition_penalty_slope': 0.0, 'repetition_penalty_frequency': 0.0, 'repetition_penalty_presence': 0.0, 'repetition_penalty_whitelist': [], 'repetition_penalty_default_whitelist': False, 'length_penalty': 1.0, 'diversity_penalty': 0.0, 'order': [<Order.Temperature: 0>], 'phrase_rep_pen': 'off'}","{'Slice of Life': 0, 'LitRPG': 0, 'Adventure': -0.1, 'horror: monster': 0, 'fantasy': -0.1}",False,,
2024-09-20 11:58:26.712134,21,8,completed,116.459978,env_token,20,-0.1,Model.Clio,default,"{'temperature': 1.0, 'max_length': 40, 'min_length': 1, 'top_k': 0, 'top_a': 1.0, 'top_p': 0.0, 'typical_p': 0.0, 'tail_free_sampling': 1.0, 'repetition_penalty': 1.0, 'repetition_penalty_range': 0, 'repetition_penalty_slope': 0.0, 'repetition_penalty_frequency': 0.0, 'repetition_penalty_presence': 0.0, 'repetition_penalty_whitelist': [], 'repetition_penalty_default_whitelist': False, 'length_penalty': 1.0, 'diversity_penalty': 0.0, 'order': [<Order.Temperature: 0>], 'phrase_rep_pen': 'off'}","{'Slice of Life': 0, 'LitRPG': -0.7999999999999999, 'Adventure': -0.30000000000000004, 'horror: monster': 0, 'fantasy': 0, 'Apocalyptic': 0, 'Greco-Roman Fantasy': 0, 'Comedy': 0, 'Historical Fiction': 0, 'Epic Fantasy': 0, 'action': 0, 'Fantasy': -0.1, 'historical fiction': -0.1}",False,5.0,
2024-09-21 18:31:40.677777,0,0,completed,0.0,env_token,20,-0.1,Model.Clio,Edgewise,,"{'Slice of Life': 0.0, 'LitRPG': -0.7, 'Adventure': -0.2, 'horror: monster': 0.0, 'fantasy': 0.0, 'Apocalyptic': 0.0, 'Greco-Roman Fantasy': 0.0, 'Comedy': 0.0, 'Historical Fiction': 0.0, 'Epic Fantasy': 0.0, 'action': 0.0, 'Fantasy': 0.0, 'cyoa': 0.0, 'horror': 0.0, 'historical fiction': 0.0, 'light novel': 0.0, 'Cyberpunk': 0.0, 'Horror': 0.0, 'Renaissance': 0.0, 'Drama': 0.0}",False,5.0,official
2024-09-21 18:34:32.193575,55,9,ongoing,149.666468,env_token,30,-0.1,Model.Clio,Edgewise,,"{'Slice of Life': 0.0, 'LitRPG': -2.1000000000000005, 'Adventure': -0.8999999999999999, 'horror: monster': 0.0, 'fantasy': -0.30000000000000004, 'Apocalyptic': 0.0, 'Greco-Roman Fantasy': 0.0, 'Comedy': -0.30000000000000004, 'Historical Fiction': 0.0, 'Epic Fantasy': 0.0, 'action': 0.0, 'Fantasy': -0.4, 'cyoa': 0.0, 'horror': 0.0, 'historical fiction': 0.0, 'light novel': 0.0, 'Cyberpunk': -0.30000000000000004, 'Horror': 0.0, 'Renaissance': 0.0, 'Drama': 0.0, 'Action': -0.30000000000000004, 'Epic fantasy': -0.4, 'Science fiction': -0.2, 'Romance': -0.1, 'Historical fiction': -0.2}",True,5.0,official
2024-09-21 18:34:36.848413,56,10,completed,154.321306,env_token,30,-0.1,Model.Clio,Edgewise,N/A,"{'Slice of Life': 0.0, 'LitRPG': -2.1000000000000005, 'Adventure': -0.8999999999999999, 'horror: monster': 0.0, 'fantasy': -0.30000000000000004, 'Apocalyptic': 0.0, 'Greco-Roman Fantasy': 0.0, 'Comedy': -0.30000000000000004, 'Historical Fiction': 0.0, 'Epic Fantasy': 0.0, 'action': 0.0, 'Fantasy': -0.4, 'cyoa': 0.0, 'horror': 0.0, 'historical fiction': 0.0, 'light novel': 0.0, 'Cyberpunk': -0.30000000000000004, 'Horror': 0.0, 'Renaissance': 0.0, 'Drama': 0.0, 'Action': -0.30000000000000004, 'Epic fantasy': -0.4, 'Science fiction': -0.2, 'Romance': -0.1, 'Historical fiction': -0.2}",False,5.0,official
